"";"x"
"1";"@Vasilis_Agr Ποια σχολή τελείωσες ρε Βασιλομπίλαρε;"
"2";"Κώστα,παραβιάζεις ανοικτές θύρες! "
"3";"Πρέπει να αποφασίσουμε με ποιούς είμαστε κύριοι της αριστεράς!"
"4";"Νεκρός από κορονοϊό πρώην επιβάτης του Diamond Princess -  "
"5";"Ο κορονοϊός έπληξε και τη Διώρυγα του Σουέζ -  "
"6";"""Στα κόκκινα"" συντηρεί την ένταση η <U+02BC>γκυρα, με υπερπτήσεις πάνω από τα ελληνικά νησιά -  "
"7";"Ο κορονοϊός χτύπησε το MasterChef - Προσωρινά εκτός ο Πάνος Ιωαννίδης -  "
"8";"Νέα ένταση στις Καστανιές - Χημικά ρίχνουν οι Τούρκοι -  "
"9";"@Diogenes_Cynic5 Κλάμα αχαχαχα"
"10";"<U+02BC>ντε καλε, κόβεται το σεξ? "
"11";"Διάλογοι στους τοίχους των Εξαρχείων #antireport "
"12";"Η κερκόπορτα της Τουρκίας στην εισβολή του κορωναϊού."
"13";"@silaserafim @Vkikilias Οι άνθρωποι της τέχνης πηγαίνουν με το λαό κι όχι με την εξουσία. Μακάρι να το καταλάβεις. Κι ίσως τότε αποκτήσεις πραγματικούς θαυμαστές κι ότι τύπους που απλά σε χειροκροτούν επειδή είσαι «δικός τους»."
"14";"@wolf5760eagle81 Να πας να κοινωνήσεις, να σώσεις τη ψυχή σου, αν και με τόση μαυρίλα δεν θα σε θέλει ούτε ο Θεός, ούτε ο διάβολος."
"15";"@ioannhs543 Το 2004 υπήρχε Ελλάδα. Το ένοιωθες. Μέχρι την οικονομική κρίση υπήρχε. Από τον Γιωργάκη Παπανδρέου άρχισε η κατηφόρα. Λόγω δουλειάς ταξιδεύω συχνά στο εξωτερικό. Διαβάζω κι αυτά που γράφουν. Μιλώ και με ξένους συναδέλφους."
"16";"@AdamA24164650 @EuropiMenoume @nickthegreek5 @HarryKPhoto @NIKSOTIROPOYLOS @Stakon13 @TheoIT1 @scordo_official Ετσι με έλεγε και πριν την κρίση. Ψάξε τις αναρτήσεις και θα δεις"
